Group	CAC	CDC	CWC	GCCC	GCMCC	CAG	CDG	CWG	GCCG	GCMCG	GCMCG
Trial2	21437.87669	350.164615	62.371725	51	2.378966945						
Trial2	24612.52895	406.466522	54.341481	60	2.43778281						
Trial2	40302.85591	528.813086	74.549174	77	1.910534583						
Trial2	27387.90222	403.695322	79.852029	57	2.081210877						
Trial2	14717.19716	362.271626	44.593466	33	2.242274778						
Trial3	23599.61033	391.828012	51.945205	54	2.288173374	13738.36863	328.541449	38.065478	52	3.785019997	3.785019997
Trial3	13994.00631	292.272377	48.831353	36	2.572529925	13958.48667	330.829592	43.896478	50	3.582050202	3.582050202
Trial3	12558.20006	216.993869	59.041923	36	2.86665285	14326.38158	260.328047	46.195543	40	2.792051836	2.792051836
Trial3	15737.76879	280.996186	57.137616	36	2.287490717	18598.36201	340.826152	46.674585	52	2.795945147	2.795945147
Trial3	17110.78872	291.220965	55.67893	45	2.629919681	17452.87548	332.479535	52.22849	41	2.349183093	2.349183093
Trial3	20354.30209	327.534542	64.487846	58	2.849520448	21218.67255	378.383741	48.034447	47	2.215030176	2.215030176
Trial3	14670.24611	249.94255	53.89475	35	2.385781379	18315.12943	277.396987	53.686448	43	2.347785756	2.347785756
Trial3	13979.56199	271.766303	57.678923	39	2.789786979	15442.80351	317.534219	38.190461	41	2.654958342	2.654958342
Trial3	16267.65161	248.538362	66.708934	21	1.290905443	16672.67395	152.5734	64.209345	43	2.579070407	2.579070407
Trial3	14834.41542	278.561034	65.701572	27	1.820091944	16287.98105	293.436373	61.269979	41	2.517193498	2.517193498
Trial3	16897.35393	296.09328	62.198558	48	2.840681458	21831.98173	347.628224	62.303652	74	3.389522807	3.389522807
Trial3	15924.36983	277.627278	59.320238	54	3.391029006	16167.12726	279.755715	56.357644	64	3.958650103	3.958650103
Trial3	15736.61582	213.166436	60.865645	60	3.812763856	23084.70628	366.661234	63.393129	70	3.03231062	3.03231062
