"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu029"	"Otu029"	301	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.115207373271889	0.103869124902623	0.053184416965829	0.696810157943636	0.216190247417728	0.466366295154533	0.515588495931685	0.627396305332869	0.326721120186698	0.162946064852534	0.299629030723866	0.39332913782253	0.338833606247638
"Otu030"	"Otu030"	275	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.172811059907834	1.63593871721631	0	0	0.108095123708864	0.316180539087819	0.0241682107467977	0.174276751481352	0	0.211829884308294	0.477979644249976	0.166322035422098	0.34009321073183
"Otu031"	"Otu031"	273	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0.0576036866359447	0.0259672812256557	0.0132961042414573	0.410343759677919	0.0600528465049243	0.0474270808631729	0.483364214935954	0.104566050888811	0.466744457409568	0.98582369235783	0.149814515361933	0.471994965387036	0.314901121047991
"Otu032"	"Otu032"	262	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.115207373271889	0.216394010213797	0.132961042414573	0.526478786001858	0.108095123708864	0.252944431270255	0.306130669459438	0.557685604740328	0.58343057176196	0.301450219977188	0.271092932559688	0.332644070844197	0.278372591006424
"Otu033"	"Otu033"	259	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	0	0.692460832684151	0.0664805212072863	0.061938680706101	0	0.0395225673859774	0	1.95189961659115	0.0466744457409568	0.839172233990549	0.221154760772377	0.373100782163086	0.253180501322585
"Otu034"	"Otu034"	249	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	0.115207373271889	0.337574655933524	0.159553250897487	0.309693403530505	0.0120105693009849	0.118567702157932	0.0161121404978651	0.139421401185082	0.0233372228704784	1.07544402802672	0.223532768952725	0.346129641283826	0.306083889658647
"Otu035"	"Otu035"	247	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	0	0	0	0.00774233508826262	0	1.20148604853371	0	0.662251655629139	0	0.611047743197002	0.00237800818034814	0.552908388024813	0.287189822395768
"Otu036"	"Otu036"	220	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.0576036866359447	0.0519345624513113	0.212737667863316	0.0464540105295757	0.0120105693009849	0.00790451347719548	0	0.278842802370164	0	1.4665145836728	0.0713402454104442	0.424795468848332	0.265776546164504
"Otu037"	"Otu037"	208	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.115207373271889	0	0.0265922084829145	0	0.0240211386019697	0	0	0.139421401185082	0.0466744457409568	1.59687143555483	0.0142680490820888	0.454014204800863	0.254440105806777
"Otu038"	"Otu038"	205	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.460829493087558	0.199082489396694	0.106368833931658	0.418086094766182	0.168147970213788	0.268753458224646	0.201401756223314	0.418264203555246	0.280046674445741	0.1222095486394	0.254446875297251	0.220264317180617	0.227988411638745
