"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu028"	"Otu028"	734	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Megasphaera"	0.0288933834151979	4.87776484284051	0.533096401599289	2.80108254397835	0.306566455696203	0.0311187179088222	0.503311258278146	0.0689496667432774	0.0340676811265047	0.112280701754386	1.74768023738275	0.10908568967992	1.26808421200126
"Otu029"	"Otu029"	668	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	8.3501878069922	0.209545983701979	0.503479934843773	0	0.0296677215189873	0	0	0.229832222477591	0.170338405632523	0	1.59177207232127	0.100473661547294	1.10869793673591
"Otu030"	"Otu030"	623	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0	0.19790454016298	0.266548200799645	2.51691474966171	0.652689873417722	2.05383538198226	0.344370860927152	0.344748333716387	0.181694299341358	2.03508771929825	0.721703925365253	0.964547150854026	1.01061407503415
"Otu031"	"Otu031"	593	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelotrichaceae_unclassified"	0	0.0116414435389988	0.0740411668887902	0.081190798376184	0.187895569620253	0.108915512680878	1.32450331125828	3.28660078142956	1.237792414263	1.54385964912281	0.0779540825307416	1.61331993684513	0.346796511016919
"Otu032"	"Otu032"	519	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	0.520080901473563	0.069848661233993	0.207315267288612	2.61163734776725	2.62064873417722	0	0.105960264900662	0	0.0113558937088349	0	1.29252898131617	0.0143533802210421	0.907275720741234
"Otu033"	"Otu033"	514	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.260040450736781	0.337601862630966	0.75521990226566	1.63734776725304	0.385680379746835	0.342305896997044	0.291390728476821	1.14916111238796	0.408812173518056	1.22105263157895	0.648779138481656	0.734893067317353	0.662066066486846
"Otu034"	"Otu034"	474	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	0.014446691707599	0	0	0	0	0.606814999222032	0.397350993377483	1.87313261319237	2.80490574608222	0.126315789473684	0.00251464782357231	1.35782976891058	0.112095841944863
"Otu035"	"Otu035"	467	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVa"	0.0288933834151979	0	1.27350807048719	0	0	1.99159794616462	0.582781456953642	0.896345667662606	0.181694299341358	1.89473684210526	0.221289008474363	1.08798622075499	0.653308578834904
"Otu036"	"Otu036"	458	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Fusicatenibacter"	0.0577867668303958	0.069848661233993	0.0740411668887902	0.27063599458728	0.197784810126582	0.357865255951455	0.529801324503311	2.78096989197886	0.942539177833296	0.491228070175439	0.138305630296477	1.15688244581599	0.232949171541668
"Otu037"	"Otu037"	454	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0	0	0.281356434177403	0.013531799729364	0	5.69472537731445	0.211920529801325	0.517122500574581	0.0567794685441744	0.140350877192982	0.0502929564714462	1.24587340318645	0.707605002276947
"Otu038"	"Otu038"	432	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	0.158913608783589	0.139697322467986	0.177698800533096	0.933694181326116	2.26463607594937	0.560136922358799	0.211920529801325	0.390714778211905	0.0794912559618442	0.182456140350877	0.837377725249579	0.281326252332424	0.683084036851508
"Otu039"	"Otu039"	416	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	0	0.0116414435389988	0.0592329335110321	1.23139377537212	2.48219936708861	0.357865255951455	0.47682119205298	0.0574580556193978	0.0227117874176698	0.294736842105263	0.872582794779591	0.19807664705038	0.716362489928889
"Otu040"	"Otu040"	409	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	1.64692285466628	0.0465657741559953	3.15415370946246	0.324763193504736	0.148338607594937	0.0311187179088222	0.158940397350993	0.137899333486555	0.193050193050193	0.0280701754385965	0.930419694721754	0.111956365724128	0.665569061547623
"Otu041"	"Otu041"	408	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0	0	0.014808233377758	0.162381596752368	0.00988924050632911	0.29562782013381	0.688741721854305	0.482647667202942	0.136270724506019	4.14035087719298	0.0352050695300123	1.13104636141811	0.620030125757523
"Otu042"	"Otu042"	395	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0.202253683906385	0.570430733410943	0	3.16644113667118	0.78125	0	0.264900662251656	0.0574580556193978	0.0340676811265047	0.0140350877192982	0.945507581663188	0.0545428448399598	0.677829544260343
"Otu043"	"Otu043"	379	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	3.17827217567177	0.0232828870779977	0.844069302532208	0.13531799729364	0.187895569620253	0.342305896997044	1.11258278145695	0	0.0567794685441744	0.0280701754385965	0.774511529660271	0.203817999138797	0.655060076365292
"Otu044"	"Otu044"	372	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Paraprevotella"	0.130020225368391	0.570430733410943	1.64371390493114	1.51556156968877	0.850474683544304	0	0.132450331125828	0	0	0	0.922875751251037	0.0143533802210421	0.651557081304515
"Otu045"	"Otu045"	369	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Treponema"	0	0	5.46423811639271	0	0	0	0	0	0	0	0.927905046898182	0	0.64630258871335
"Otu046"	"Otu046"	353	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	0.454016298020955	0.325781134310677	1.44790257104195	0.0988924050632911	0.1400342305897	0.71523178807947	0.172374166858194	1.22643652055417	0.224561403508772	0.447607312595871	0.502368307736472	0.402844431989351
"Otu047"	"Otu047"	330	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.0577867668303958	0.069848661233993	0.281356434177403	0.60893098782138	0.138449367088608	1.33810487007935	1.64238410596027	0	1.06745400863048	0	0.221289008474363	0.694703602698435	0.413353417171682
