"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu028"	"Otu028"	1019	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	0.920012165450122	2.07324825191922	2.52142386288728	0.442004212852654	0.2160021600216	0.167106093802221	0.247347881053152	0.252167060677699	0.11936022917164	1.06595101641565	0.188148861587394	0.602252827866913
"Otu029"	"Otu029"	997	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Actinobacillus"	0.212895377128954	0.00977947288641142	0.2636783124588	0.0103594737387341	8.50508505085051	0.00371346875116046	0	0	0.00397867430572133	1.24653565919665	0.00223986739984993	0.589237540820673
"Otu030"	"Otu030"	910	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	0.121654501216545	0.425407070558897	0.03295978905735	0.113954211126075	0.1260012600126	0.167106093802221	0.538668718737976	1.89650643551353	1.00262592504178	0.190617122935504	0.846669877143273	0.537176392635714
"Otu031"	"Otu031"	877	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	0.821167883211679	0.151581829739377	4.1529334212261	0.317690527987845	0.0720007200072001	0	0.10443577200022	0.0157604412923562	0.00397867430572133	0.61574346948245	0.0257584750982742	0.304084433716693
"Otu032"	"Otu032"	857	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"	0.0684306569343066	0.0831255195344971	0.0659195781147001	2.46900790773162	0.0720007200072001	0.16339262505106	0.093442532842302	0.0630417651694248	0.111402880560197	0.944307194542331	0.113113303692421	0.505229778976762
"Otu033"	"Otu033"	779	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	0.00760340632603406	1.37401594054081	1.30191166776533	0.390206844158983	0.4050040500405	0.408481562627651	0.126422250316056	0.362490149724192	0.222805761120395	0.6508571500232	0.288942894580641	0.459676274314923
"Otu034"	"Otu034"	768	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0.653892944038929	0.0831255195344971	10.8437705998682	0.0172657895645568	0.00900009000090001	0	0	0	0	0.961864034812706	0	0.45376023474845
"Otu035"	"Otu035"	740	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Terrisporobacter"	2.28102189781022	1.05618307173243	0.0823994726433751	0.272799475119997	0.585005850058501	0.155965687548739	0.093442532842302	0.0472813238770686	0.0198933715286067	0.833949912842829	0.0817551600945224	0.436603720005679
"Otu036"	"Otu036"	730	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	0.752737226277372	2.20038139944257	0.856954515491101	0.0932352636486067	0.0270002700027	0.040848156262765	0.285824218105865	0.173364854215918	0.011936022917164	0.791311872186203	0.110873436292571	0.431870888352501
"Otu037"	"Otu037"	698	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Phascolarctobacterium"	0.357360097323601	0.821475722458559	5.86684245220831	0.179564211471391	0.0720007200072001	0.103977125032493	0.0494695762106305	0.0157604412923562	0.0755948118087053	0.791311872186203	0.0660760882955729	0.408206730086611
"Otu038"	"Otu038"	667	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	0.288929440389294	0.0977947288641142	0	0.0517973686936704	0.2070020700207	1.00263656281332	0.181388446105645	0.556868925663252	0.644545237526856	0.120389761854002	0.639482142657155	0.394599839083724
