"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu028"	"Otu028"	969	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	0.635411300017173	0.468334220329963	0.502809819580006	0.525592302094283	0.169390195296931	0.809751850239443	0.876076742364918	3.65977634700102	0.522540983606557	0.44803617787455	1.4117163104654	0.957084300459282
"Otu029"	"Otu029"	942	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.0171732783788425	0	0	0.0242581062505054	0	0.0696560731388768	0.0734142521534847	5.75228736021688	2.4077868852459	0.00837450799765514	1.75202408331931	0.929428613758704
"Otu030"	"Otu030"	927	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_unclassified"	"Clostridiales_unclassified"	0.13738622703074	0.447046301224055	0.473232771369417	0.735829222931996	2.65045834994022	1.95037004788855	0.631362568519969	0.508302270416808	0.604508196721312	0.952600284733272	0.882556421906845	0.915600770408415
"Otu031"	"Otu031"	899	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonadaceae_unclassified"	0.103039670273055	0.180947312400213	0.611258996352164	2.23983181046333	0.0597847748106815	0.44405746626034	0.685199686765858	0.0338868180277872	3.44262295081967	0.770454735784273	0.992875974645201	0.887945083707837
"Otu032"	"Otu032"	892	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	0.154559505409583	0.0638637573177222	1.48871142659963	1.00266839168756	0.13949780789159	1.07966913365259	1.73747063429914	0.0084717045069468	1.10655737704918	0.63646260782179	1.09945588152802	0.881031162032693
"Otu033"	"Otu033"	859	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	0	0	0.00985901607019619	0.0242581062505054	0	0.0522420548541576	0.0342599843382929	7.07387326330058	0.0614754098360656	0.00837450799765514	1.5968287803145	0.84744925675342
"Otu034"	"Otu034"	820	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0	3.02288451303885	0.423937691018436	0.654968868763645	0	0.0522420548541576	0.122357086922475	2.87190782785496	0.420081967213115	0.854199815760824	0.768497223312952	0.808928835991901
"Otu035"	"Otu035"	774	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.154559505409583	0.223523150612028	0.197180321403924	0.703485081264656	0.458349940215225	0.235089246843709	2.54013312451057	0.203320908166723	0.0614754098360656	0.383133740892723	1.07701800639479	0.749666650204948
"Otu036"	"Otu036"	755	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	0.583891464880646	1.62852581160192	1.84363600512669	0.792431470849842	0.0697489039457951	0.252503265128428	0.0832028191072827	1.89766180955608	0.0512295081967213	1.0028473327192	0.514201305136404	0.744728134722702
"Otu037"	"Otu037"	746	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	0.961703589215181	3.99148483235764	0.0197180321403924	0.129376566669362	0	0.0696560731388768	0.0244714173844949	2.33819044391732	0.0819672131147541	0.940038522736789	0.555337409547316	0.736826509951109
"Otu038"	"Otu038"	716	"Bacteria"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	"Bacteria_unclassified"	0	0	3.618258897762	0	0	0.792337831954724	1.03758809710258	0	0.471311475409836	0.768361108784859	0.65256820179129	0.707195417057632
"Otu039"	"Otu039"	710	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Paraprevotella"	0.034346556757685	0	0.0788721285615696	0.840947683350853	0.0896771622160223	0.557248585111014	0.797768206734534	0.898000677736361	2.5922131147541	0.257516120927895	1.09571623567248	0.700281495382488
"Otu040"	"Otu040"	664	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Acidaminococcus"	0.120212948651898	0.0106439595529537	0.354924578527063	1.10778685210641	0.298923874053408	2.72529386155855	0.469851213782302	0.0677736360555744	0.327868852459016	0.441755296876309	0.839550494568164	0.651884043656477
"Otu041"	"Otu041"	642	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0	6.6205428419372	0	0.129376566669362	0	0.0261210274270788	0	0	0	1.33573402562599	0.00560946878330622	0.633117684823942
"Otu042"	"Otu042"	639	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.257599175682638	2.0010643959553	0.364783594597259	0.760087329182502	0.0398565165404544	0.043535045711798	0.313234142521535	0.87258556421552	1.26024590163934	0.707645925801859	0.551597763691778	0.625216060052348
"Otu043"	"Otu043"	633	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0.13738622703074	2.34167110164981	0.108449176772158	2.56327322713673	0.657632522917497	0	0.00978856695379796	0.0169434090138936	0.0512295081967213	1.30223599363537	0.0168284063499187	0.62324065385945
"Otu044"	"Otu044"	622	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	3.12553666494934	0.340606705694518	0.305629498176082	0.0970324250020215	1.3949780789159	0.21767522855899	0.323022709475333	0.999661131819722	0.14344262295082	0.831169918767272	0.416970512892429	0.612375919798509
"Otu045"	"Otu045"	620	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVa"	0.0858663918942126	1.92655667908462	0.256334417825101	0.0323441416673405	0	0.0087070091423596	0.0587314017227878	3.20230430362589	0.112704918032787	0.452223431873377	0.751668816963034	0.61040051360561
"Otu046"	"Otu046"	594	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidales_unclassified"	"Bacteroidales_unclassified"	0.27477245406148	0.851516764236296	0.157744257123139	0.210236920837713	0.0797130330809087	1.77622986504136	0.880971025841817	0.44900033886818	0.112704918032787	0.305669541914413	0.837680671640396	0.586695639290829
"Otu047"	"Otu047"	591	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.171732783788425	1.17083555082491	0.778862269545499	1.16438910002426	0.338780390593862	0.0348280365694384	0.0880971025841817	0	1.95696721311475	0.789297378778997	0.398272283614742	0.582744826905032
"Otu048"	"Otu048"	564	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	3.77812124334535	0.0745077168706759	0.601399980281968	0.396215735424921	0.468314069350339	0.356987374836744	0.0440485512920908	0.330396475770925	0.932377049180328	0.803952767774893	0.336568126998373	0.557064546397353
"Otu049"	"Otu049"	559	"Bacteria"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Mucispirillum"	4.70547827580285	0.659925492283129	0.561963916001183	0.557936443761624	0.727381426863292	0.130605137135394	0.00978856695379796	0	0.0717213114754098	1.12009044468637	0.0448757502664498	0.552126030915107
"Otu050"	"Otu050"	542	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	0.171732783788425	4.92815327301756	0.246475401754905	0.266839168755559	0.0398565165404544	0.0348280365694384	0.00489428347689898	0.0169434090138936	0	1.12009044468637	0.0130887604943812	0.53533507827547
