"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu028"	"Otu028"	727	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Subdoligranulum"	0.12279355333845	0.236406619385343	0.572956455309397	1.4020618556701	5.34360788276908	0	6.31497882171737	0	0.0132117849121416	0.0215842866393266	1.47425958531522	0.659593912663408	1.53846153846154
"Otu029"	"Otu029"	719	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	2.10283960092095	2.10549645390071	1.20320855614973	0.0618556701030928	0.29055078322385	3.14630309386471	0.693107431651906	0.886420044911949	0.515259611573524	0.345348586229225	1.34286390034951	0.826479119481861	1.28205128205128
"Otu030"	"Otu030"	559	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.0613967766692249	0.206855791962175	0.783040488922842	1.19587628865979	1.27589691763517	0	1.19368502117828	1.35917740219832	2.37812128418549	0.0215842866393266	0.609675978240875	1.29932053880081	0.559440559440559
"Otu031"	"Otu031"	541	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVa"	0.0460475825019186	0.0664893617021277	0.802139037433155	0	0.0126326427488631	3.61824855794442	0.962649210627647	1.30008273253753	0.475624256837099	5.30973451327434	0.144535253462276	1.93110025032781	0.837041746132655
"Otu032"	"Otu032"	520	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Paraprevotella"	0.0767459708365311	1.66962174940898	1.8716577540107	0.845360824742268	1.84436584133401	0	0	0	0.0396353547364249	0.0215842866393266	1.35600346884608	0.015893829220805	1.0955710955711
"Otu033"	"Otu033"	512	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelotrichaceae_unclassified"	0.0613967766692249	0.0147754137115839	0.0381970970206264	0.164948453608247	0.252652854977261	0.0524383848977451	1.07816711590297	2.18650277744947	2.4441802087462	1.66199007122815	0.0946048931753081	1.8913656772758	0.300911210002119
"Otu034"	"Otu034"	472	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Sutterella"	0	0.0147754137115839	0.248281130634072	0.0206185567010309	0.303183425972713	0.786575773466177	2.11782826338082	2.99019028483631	0.871977804201348	0.928124325491043	0.105116547972565	1.71653355584694	0.324221233312142
"Otu035"	"Otu035"	469	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.0306983883346124	0.0517139479905437	1.92895339954163	0.144329896907216	0.0252652854977261	3.04142632406922	0.808625336927224	1.64283181657015	0.369929977539966	2.24476581048996	0.31272173021838	1.39071005682044	0.639966094511549
"Otu036"	"Otu036"	467	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales_unclassified"	"Clostridiales_unclassified"	0.0767459708365311	0.310283687943262	0.0381970970206264	0.639175257731959	0.732693279434058	1.10120608285265	0.192529842125529	0	4.00317082837891	0	0.362652090505348	1.30726745341121	0.347531256622166
"Otu037"	"Otu037"	458	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	3.31542594013814	0.953014184397163	0.439266615737204	0.164948453608247	0.189489641232946	0.0524383848977451	0.269541778975741	0.248197612575346	0.356718192627824	0.237427153032592	1.02751425643182	0.266221639448484	0.868828141555414
"Otu038"	"Otu038"	458	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Fusicatenibacter"	0.0613967766692249	0.0295508274231678	0.0763941940412529	0.22680412371134	0.480040424456796	0.839014158363922	0.770119368502118	1.20553126108025	1.57220240454485	3.00021584286639	0.160302735658161	1.5734890928597	0.500105954651409
"Otu039"	"Otu039"	426	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	0.0613967766692249	0.206855791962175	0.229182582123759	0.88659793814433	2.89287518948964	0	0	0	1.45329634033558	0	0.83042072898326	0.437080303572138	0.669633396906124
"Otu040"	"Otu040"	420	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	1.02839600920952	0.0295508274231678	2.48281130634072	0.123711340206186	0.884284992420414	0	0.192529842125529	0.87460111097979	0.330294622803541	0.841787178933736	0.72793209471001	0.56820439464378	0.680228862047044
"Otu041"	"Otu041"	415	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0.138142747505756	0.33983451536643	0.0572956455309397	5.71134020618557	0.656897422940879	0.0524383848977451	0.231035810550635	0.0118189339321593	0.224600343506408	0.0647528599179797	1.01700260163456	0.111256804545635	0.841279932189023
"Otu042"	"Otu042"	414	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0.0306983883346124	0.0886524822695035	0.381970970206264	4.5360824742268	0.61899949469429	1.36339800734137	0.462071621101271	0.106370405389434	0.171753203857841	1.10079861860566	0.796257850892177	0.441053760877339	0.830684467048103
"Otu043"	"Otu043"	370	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.521872601688411	0.746158392434988	1.37509549274255	0.22680412371134	0.45477513895907	1.46827477713686	0.577589526376588	0.141827207185912	0.198176773682124	0.971292898769696	0.667490079625785	0.456947590098144	0.724729815638907
"Otu044"	"Otu044"	370	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVb"	0	0	0	0	0	1.36339800734137	0.269541778975741	2.39924358822834	1.51935526489629	0.410101446147205	0	1.47017920292446	0.110192837465565
"Otu045"	"Otu045"	363	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonadaceae_unclassified"	0.0153491941673062	0.310283687943262	1.31779984721161	1.09278350515464	0.821121778676099	0.471945464079706	3.35001925298421	0.200921876846708	0.184964988769983	0.129505719835959	0.604420150842246	0.528469821591767	0.703538885357067
"Otu046"	"Otu046"	358	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	1.2432847275518	0	5.29029793735676	0	0	0	0	0	0	0	0.940793104354453	0	0.758635304089849
"Otu047"	"Otu047"	295	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.12279355333845	0.132978723404255	0.248281130634072	0.721649484536082	0.682162708438605	2.62191924488726	3.00346553715826	0	0.502047826661382	0.0215842866393266	0.336372953512207	0.66356736996861	0.544606908243272
"Otu048"	"Otu048"	290	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.399079048349962	0.236406619385343	2.65469824293354	0.0824742268041237	0.0252652854977261	0.314630309386471	0.385059684251059	0.366386951896939	0.198176773682124	0.496438592704511	0.533466480960765	0.337743870942107	0.512820512820513
"Otu049"	"Otu049"	266	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"	0.874904067536454	0.0886524822695035	2.5974025974026	0.103092783505155	0.0378979282465892	0.157315154693235	0.269541778975741	0.130008273253753	0.0396353547364249	0.561191452622491	0.559745617953906	0.198672865260063	0.5276541640178
"Otu050"	"Otu050"	266	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0	0.00738770685579196	0.152788388082506	0	0.0505305709954523	2.98898793917147	0.231035810550635	0.791868573454674	0.832342449464923	1.29505719835959	0.0341628780910835	1.00528469821592	0.288196651833015
