"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL10"	"CONTROL11"	"CONTROL12"	"CONTROL13"	"GOS10"	"GOS11"	"GOS12"	"GOS9"	"CONTROL"	"GOS"	"TOTAL"
"Otu030"	"Otu030"	113	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.0791139240506329	0.125084692760723	0.245791747355877	1.54337413517829	0.0329706561160567	0.00862663906142167	0.104364326375712	0	0.203683272511245	0.0330013782928581	0.114552182067008
"Otu031"	"Otu031"	108	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	0	0.00521186219836348	0	0.0532197977647685	0.698977909660402	0	0	0	0.00424340151065094	0.205773299943704	0.109483501444574
"Otu032"	"Otu032"	106	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Rothia"	0.0316455696202532	0.0781779329754521	0.156412930135558	0	0.224200461589186	0.0948930296756384	0.113851992409867	0.0633089476646033	0.0848680302130188	0.128122998078155	0.1074560291956
"Otu033"	"Otu033"	106	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Terrisporobacter"	0.0632911392405063	0.0156355865950904	0.0074482347683599	0.106439595529537	0.138476755687438	0.00862663906142167	0.0189753320683112	0.478334271243669	0.0297038105745566	0.178595694290762	0.1074560291956
"Otu034"	"Otu034"	101	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	0	0.010423724396727	0	0	0.646224859874711	0.00862663906142167	0	0	0.00424340151065094	0.192184497117233	0.102387348573166
"Otu035"	"Otu035"	99	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0.0158227848101266	0.0364830353885443	0	0.106439595529537	0.474777448071217	0.0345065562456867	0.0094876660341556	0.0703432751828925	0.0233387083085802	0.168889406557568	0.099346140199706
"Otu036"	"Otu036"	92	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"	0.197784810126582	0.10423724396727	0.104275286757039	0	0.0857237059017475	0.00862663906142167	0.0284629981024668	0.112549240292628	0.125180344564203	0.0640614990390775	0.0932637234527852
"Otu037"	"Otu037"	90	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Faecalibacterium"	0	0.00521186219836348	0	0	0.520936366633696	0	0.0094876660341556	0.028137310073157	0.00212170075532547	0.163065633917652	0.0861675705813777
"Otu038"	"Otu038"	85	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0.0712025316455696	0.0886016573721791	0.394756442723075	0	0.0263765248928454	0	0.0094876660341556	0.00703432751828925	0.167614359670712	0.0116475452798323	0.0861675705813777
"Otu039"	"Otu039"	78	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae_1"	"Clostridium_sensu_stricto"	0.229430379746835	0.0886016573721791	0.074482347683599	0	0.0527530497856907	0	0	0.0984805852560495	0.118815242298226	0.0427076660260517	0.0790714177099701
"Otu040"	"Otu040"	76	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Fusicatenibacter"	0	0.00521186219836348	0.0074482347683599	0	0.487965710517639	0	0	0	0.00424340151065094	0.143653058451265	0.0770439454609965
