"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"GOS5"	"GOS6"	"GOS7"	"GOS8"	"CONTROL"	"GOS"	"TOTAL"
"Otu043"	"Otu043"	703	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Acidaminococcus"	0.0353950977789576	0	0.16025641025641	1.07710891886451	1.13811999437965	0.386398763523957	3.18093068662545	0.00454318295397756	0.310707456978968	0.363444914318711	0.766325901815481	0.572153556519604
"Otu044"	"Otu044"	631	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_unclassified"	0.110609680559243	0.375187593796898	0.480769230769231	0.171129454399034	0.0843051847688633	0.463678516228748	0.154572079401237	1.84907546226887	0.215105162523901	0.224180975187242	0.786866596090948	0.515674879266596
"Otu045"	"Otu045"	599	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	1.47332094504911	0.0750375187593797	0.338319088319088	0.0905979464465472	0.154559505409583	0.0515198351365276	0.0569476082004556	0.081777293171596	0.697100063734863	0.674241266282842	0.319170787972633	0.490300401080462
"Otu046"	"Otu046"	587	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruminococcaceae_unclassified"	0	0.0250125062531266	0	0	0.0281017282562878	0.0257599175682638	0	1.13125255554041	1.32648183556405	0.00679336288446188	0.921171135584383	0.480478022427765
"Otu047"	"Otu047"	551	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Treponema"	0	0.812906453226613	0.73005698005698	3.37225689551037	0.927357032457496	0	0	0	0.00796685787125558	0.930690715171278	0.00316010681161023	0.450192354915282
"Otu048"	"Otu048"	520	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	0.137568784392196	0.925925925925926	0.785182202536743	0.702543206407194	1.39103554868624	1.09827530100879	0.149925037481259	0.215105162523901	0.412696795231059	0.436094740002212	0.424817876729148
"Otu049"	"Otu049"	500	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.769843376692328	0.325162581290645	0.258190883190883	0.573786994161466	0.154559505409583	1.23647604327666	0.341685649202733	0.118122756803416	0.338591459528362	0.504407194171295	0.317590734566828	0.407628714086928
"Otu050"	"Otu050"	485	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Sutterella"	0	0.0375187593796898	0.195868945868946	0.0100664384940608	0.0421525923844316	0.180319422977846	0.0488122356003905	0.295306892008541	1.5057361376673	0.0492518809123486	0.720504353047133	0.39698780387984
"Otu051"	"Otu051"	484	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae_1"	"Clostridium_sensu_stricto"	0.119458455003982	0.787893946973487	1.09508547008547	0.0100664384940608	0.646339749894619	0	0.0406768630003254	0.545181954477307	0.394359464627151	0.441568587490022	0.353931962900346	0.396169272325448
"Otu052"	"Otu052"	478	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Parabacteroides"	0.0619414211131758	0.787893946973487	1.11289173789174	0.825447956512986	0.210762961922158	0.0515198351365276	0.178978197201432	0.667847894234701	0.0278840025493945	0.507803875613526	0.281249506233311	0.390439551444708
"Otu053"	"Otu053"	471	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Paraprevotella"	0	0	0	1.16770686531105	0.0983560488970072	0.95311695002576	1.34233647901074	0.363454636318205	0.258922880815806	0.208895908697203	0.548278531814375	0.384709830563968
"Otu054"	"Otu054"	458	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	0.0707901955579152	0	0.249287749287749	0.573786994161466	0.562034565125755	1.51983513652756	1.68402212821347	0.0136295488619327	0.191204588910134	0.239466041677281	0.500876929640222	0.374887451911271
