VAC1	VAC2	VAC3	VAC4	CAC1	CAC2	CAC3	CAC4	GCVC1	GCVC2	GCVC3	GCVC4	GCCC1	GCCC2	GCCC3	GCCC4	GCMVC1	GCMVC2	GCMVC3	GCMVC4	GCMCC1	GCMCC2	GCMCC3	GCMCC4	VAG1	VAG2	VAG3	VAG4	CAG1	CAG2	CAG3	CAG4	GCVCG1	GCVCG2	GCVCG3	GCVCG4	GCCG1	GCCG2	GCCG3	GCCG4	GCMVG1	GCMVG2	GCMV3	GCMV4	GCMCG1	GCMCG2	GCMCG3	GCMCG4
24139.8493	30199.32645	29443.92951	28768.82016	8146.80532	7881.988162	7004.379466	11070.5568	25	8	9	14	26	14	12	24	1.035631983	0.26490657	0.305665723	0.486637962	3.191435045	1.776201602	1.713213863	2.167912638	8358.607691	16255.25891	46251.66854	40632.25703	8358.607691	8659.064894	12945.75056	19388.36442	9	14	26	10	12	16	41	29	1.076734348	0.861259736	0.562141882	0.246109882	1.435645797	1.84777458	3.167062413	1.495742466
19206.43894	34495.56959	53814.12488	33404.97518	5074.739074	12798.21573	14869.56044	13014.34774	29	10	16	14	12	14	34	33	1.509910301	0.2898923	0.29731971	0.419099249	2.364653596	1.093902486	2.286550443	2.535662997	37881.39871	13124.49557	30345.74647	12526.37396	9311.424006	12012.95519	15948.46119	14579.82284	17	10	16	12	15	31	40	33	0.448769068	0.761934045	0.527256761	0.957978745	1.610924386	2.580547376	2.508078963	2.263401988
22309.34758	25490.85117	24148.44557	50545.19277	7959.943546	17103.95287	9686.499691	9511.335676	21	19	8	19	10	34	19	13	0.941309463	0.74536546	0.331284263	0.375901227	1.256290317	1.98784458	1.961492862	1.366790159	18853.33463	38918.60387	43985.81124	30451.81171	4641.267058	23187.98754	16620.18208	14510.96886	9	17	36	22	7	32	32	23	0.477369133	0.436809091	0.818445744	0.72245291	1.508208839	1.380024892	1.925370002	1.585007881
14491.93393	26851.04771	33374.72955	31159.55382	4348.434176	12330.77776	16793.21482	16889.63416	9	25	8	14	7	14	32	21	0.621035125	0.931062366	0.239702317	0.4493004	1.609774856	1.135370394	1.90553151	1.243366186	19901.08127	9990.1013	24603.21475	52629.71135	4561.761363	7785.495096	10804.4137	41513.94064	3	9	28	18	10	21	31	45	0.150745578	0.900891766	1.138062659	0.342012136	2.192135713	2.697323644	2.869197798	1.083973222
15951.59204	34460.26072	34189.8038	74623.21528	2444.309459	19635.82048	11492.23021	13523.56745	6	29	18	36	3	33	15	29	0.376138005	0.84154906	0.526472749	0.482423598	1.227340503	1.680602043	1.305229683	2.144404582	35598.15301	43158.27684	37448.6152	38665.35177	4053.609439	10715.63828	19604.42808	11619.93279	4	7	25	24	7	20	42	23	0.11236538	0.162193686	0.667581428	0.620710763	1.726856054	1.866431049	2.142373133	1.979357403
23744.30746	46196.27348	22077.72777	20776.1111	4721.872633	12965.0034	5828.066145	7972.005418	19	28	16	14	3	15	10	23	0.800191795	0.606109495	0.724712261	0.673850844	0.635341152	1.156960746	1.715835022	2.885095882	31227.90064	22842.60232	62581.69898	15113.52975	4604.136517	8231.611695	20192.84769	16373.4033	11	11	25	15	8	14	39	33	0.352249103	0.481556341	0.399477809	0.992488204	1.737567939	1.700760497	1.931376921	2.0154637
14972.13071	23096.23463	13567.38531	28053.47735	4287.075017	10958.09808	8439.045322	17343.52483	11	12	9	20	5	25	16	19	0.734698368	0.51956521	0.663355525	0.712924097	1.166296363	2.281417798	1.895949055	1.095509718	18583.16424	34312.29029	58490.34992	44822.08361	5152.19613	15693.35251	12580.76251	14375.60379	7	19	37	29	15	32	25	41	0.376685042	0.553737446	0.632582983	0.647002497	2.911379851	2.039079921	1.987160951	2.852054118
24770.65143	28989.51291	32555.73944	24778.54178	2110.706105	9996.141784	11114.09596	8806.858111	15	11	25	15	4	20	18	12	0.60555533	0.379447562	0.767913751	0.6053625	1.895100408	2.000771941	1.619564926	1.362574467	52984.03679	27379.23914	46734.16647	21109.65605	6686.450134	8705.831454	20855.54558	31042.99804	8	12	29	15	15	15	31	37	0.150988873	0.438288294	0.62053102	0.710575292	2.243342835	1.722983046	1.486415202	1.191895188
10023.85215	30393.42527	22434.94266	32246.98135	3202.769259	6302.602899	9934.976787	15591.91456	11	16	19	21	8	14	19	16	1.097382507	0.526429643	0.846893183	0.651223746	2.497838387	2.221304471	1.912435269	1.026172888	25649.14167	25064.118	47951.65001	31435.34405	3622.496509	13316.07821	11756.81752	25445.37068	7	9	20	13	5	21	28	53	0.272913616	0.359079063	0.417086795	0.413547247	1.38026358	1.577040902	2.381596887	2.08289361
30146.66389	27897.28574	15090.69362	28377.63991	3683.223166	10685.48976	6720.891014	6920.396137	19	13	7	14	6	10	14	10	0.630252159	0.465995155	0.463862045	0.493346171	1.629007999	0.935848541	2.083057138	1.445003986	29359.41046	39644.91649	45269.31611	23927.78845	6644.187354	8204.710595	10617.4375	24878.0256	4	17	14	15	5	25	24	59	0.136242518	0.428806553	0.30926025	0.626886184	0.752537479	3.047030082	2.260432426	2.371570837
17628.46038	32806.8437	16273.55635	33399.54749	4895.068428	10781.21874	9189.006999	13737.1739	16	14	6	16	3	20	20	35	0.907623221	0.426740229	0.368696299	0.479048406	0.612861708	1.855077842	2.176513741	2.547831181	39829.11752	18985.85806	28696.65521	48306.57708	4605.531143	10848.29682	8726.181649	13516.79346	5	9	15	15	7	16	22	39	0.125536299	0.474037042	0.522709002	0.310516723	1.519911555	1.474885899	2.521148526	2.885299691
