VAC1	VAC2	VAC3	VAC4	CAC1	CAC2	CAC3	CAC4	GCVC1	GCVC2	GCVC3	GCVC4	GCCC1	GCCC2	GCCC3	GCCC4	GCMVC1	GCMVC2	GCMVC3	GCMVC4	GCMCC1	GCMCC2	GCMCC3	GCMCC4	VAG1	VAG2	VAG3	VAG4	CAG1	CAG2	CAG3	CAG4	GCVCG1	GCVCG2	GCVCG3	GCVCG4	GCCG1	GCCG2	GCCG3	GCCG4	GCMVG1	GCMVG2	GCMV3	GCMV4	GCMCG1	GCMCG2	GCMCG3	GCMCG4
12988.41196	32697.56125	42995.83764	20803.48894	6557.164733	7648.803372	12570.90221	19800.6812	17	4	8	2	7	10	5	18	1.308859008	0.122333283	0.186064522	0.09613772	1.067534565	1.307394048	0.397743926	0.909059634	23143.36018	22910.85735	92314.20372	42831.9744	9084.134852	8332.21554	16607.33272	17120.789	17	5	32	14	13	6	25	20	0.734551935	0.218237141	0.346642214	0.326858619	1.431066382	0.72009659	1.505359134	1.168170462
14714.14967	25449.40023	42993.05631	34680.82793	6497.846616	10839.1883	6906.450384	25673.27023	6	6	9	5	4	16	5	44	0.40777076	0.235761941	0.209336129	0.144171875	0.615588554	1.476125292	0.723960895	1.713844773	16870.70401	28394.80981	37078.46432	34723.596	9202.497361	14246.15911	15278.4322	16963.48315	18	10	15	16	19	12	28	20	1.066938285	0.352177037	0.404547499	0.460781769	2.064656935	0.842332302	1.832648771	1.179003146
21787.33332	42729.08732	54355.02902	23881.1248	10813.74213	13591.68275	17709.17116	13413.37403	11	11	16	7	9	15	19	20	0.504880512	0.257435875	0.294360987	0.293118522	0.832274331	1.103616107	1.072890415	1.491049154	30590.59625	30798.82664	79393.6326	31500.18195	8397.950319	13323.361	13246.4587	16595.59044	17	12	30	10	24	25	19	20	0.555726337	0.389625233	0.377864056	0.317458484	2.857840198	1.876403409	1.434345619	1.205139406
9323.603678	43290.02366	63513.42147	15501.93515	4161.537143	8474.660917	20532.74432	7340.034472	12	11	11	9	9	7	10	12	1.287055994	0.254100115	0.17319174	0.580572678	2.162662423	0.82599175	0.487026958	1.634869706	23515.12271	37276.80072	72560.55126	40985.96193	6008.856236	10185.18273	16366.2212	19050.45297	13	13	19	10	12	16	22	36	0.552835729	0.348742375	0.261850271	0.243985978	1.997052272	1.570909469	1.344232107	1.889718846
17051.29432	8474.660917	68164.49441	21211.88953	4119.323323	11161.48816	11760.35343	10716.28866	11	7	9	1	5	17	9	12	0.645112318	0.82599175	0.132033547	0.047143372	1.213791589	1.52309439	0.765283123	1.119790665	42305.68529	20774.51922	68671.22283	59390.7164	6552.652144	14585.04734	13345.20884	14911.2645	19	9	14	15	16	21	16	29	0.449112214	0.433223022	0.203869968	0.252564726	2.441759405	1.439830774	1.198932156	1.944838413
14824.24604	39992.38189	53896.99681	14427.864	9317.800833	13687.77216	13659.90156	13903.05878	11	6	12	2	8	11	13	22	0.74202762	0.150028573	0.222646914	0.138620658	0.858571689	0.803636989	0.951690606	1.582385599	23560.80435	26630.63131	51494.22464	30813.95321	9719.474906	23553.55477	22575.49668	13044.49743	14	5	19	19	28	14	11	15	0.594207218	0.187753716	0.368973417	0.616603779	2.880814064	0.59439011	0.487253953	1.14991015
11216.06658	31712.73839	37287.74647	32505.5477	8235.337188	13543.54407	6469.965966	21292.52333	11	3	9	7	10	11	5	29	0.980735975	0.09459921	0.241366155	0.215347856	1.214279364	0.812195091	0.772801592	1.361980426	33984.58705	21063.52138	88759.78568	53458.35028	10439.36413	9509.134729	17023.80731	19307.53056	17	9	35	13	17	14	24	13	0.500226764	0.427278983	0.394322719	0.24317997	1.628451675	1.47226855	1.409790393	0.673312414
9670.151003	38933.9327	38336.26027	32107.78837	13780.3868	14078.78124	17363.0553	14611.89245	4	5	8	6	10	19	7	35	0.413644006	0.128422681	0.208679718	0.186870548	0.725669035	1.349548635	0.403154853	2.395309172	28397.20424	46935.02098	46377.70891	23713.89083	8464.039659	12928.14329	20578.77074	19742.92622	17	16	28	11	17	15	13	21	0.598650482	0.340896833	0.603738319	0.463863146	2.008497205	1.160259417	0.631718977	1.06367211
13811.37764	43002.21058	35781.73982	19168.97149	5937.25189	11612.9139	13408.76339	20024.20783	11	8	10	3	8	19	8	25	0.796444807	0.186036948	0.279472157	0.156502919	1.347424726	1.636109608	0.596624742	1.24848884	31391.54642	33837.25712	70596.0473	40307.70437	7492.38923	33837.25712	25450.75902	33551.33109	12	12	28	12	21	18	28	32	0.38226852	0.354638674	0.396622772	0.297709835	2.80284424	0.531958011	1.100163652	0.953762458
26663.30535	30651.48002	27419.02694	38061.86264	13311.07984	8240.147129	11256.78983	22587.07741	13	11	7	3	15	13	16	45	0.487561457	0.358873372	0.255297171	0.078819054	1.126880778	1.577641733	1.421364371	1.992289625	31823.20435	58038.79672	44489.77536	39359.54995	10305.66142	12737.77571	16897.52046	17955.37824	11	13	24	26	16	17	18	23	0.345659723	0.223988103	0.539449791	0.660576659	1.552544698	1.334612918	1.065245048	1.280953244
50660.6589	70693.2451	29812.29021	38733.48798	8117.122467	15610.79065	11357.66873	7829.804493	20	16	7	27	13	14	11	7	0.394783653	0.226329969	0.234802491	0.697071227	1.601552774	0.896815563	0.968508614	0.894019768	28042.71822	43833.59264	38291.74648	46087.46556	7681.76907	11992.59625	9219.414962	15285.81725	22	10	17	15	22	12	18	34	0.784517386	0.228135533	0.443959902	0.325468103	2.863923635	1.00061736	1.952401543	2.224284083
14061.17362	38947.88356	48593.73576	40823.48242	2918.032239	12060.55623	15309.11127	12256.80341	5	17	15	17	3	3	25	12	0.355589095	0.436480713	0.308681763	0.416426992	1.028090081	0.248744746	1.633014456	0.979048092	25464.27702	34803.61284	58060.69564	54695.59036	5826.088172	11155.87125	10438.88721	19275.51233	24	16	12	12	13	10	15	22	0.942496816	0.459722388	0.206680266	0.219396114	2.231342818	0.896388976	1.436934771	1.141344501
28257.55521	47588.43732	40395.13716	29295.05825	6550.338035	15906.79571	13142.22419	13240.49572	18	11	6	6	8	14	14	14	0.636997782	0.231148586	0.14853273	0.204812701	1.221311016	0.880126976	1.065268694	1.057362224	16656.63305	41737.11123	44942.12862	31220.14162	9449.85561	12174.93141	7333.092029	16310.43604	17	17	24	9	29	9	19	22	1.020614427	0.407311371	0.5340201	0.288275438	3.068829959	0.739223877	2.590994348	1.348829666
9879.835838	21846.16604	28850.77433	17694.11081	3148.692523	9880.633279	18279.16109	11062.65074	7	13	7	8	4	12	16	9	0.708513797	0.59507009	0.242627803	0.452127834	1.270368564	1.214497053	0.875313693	0.813548236	40645.51161	31201.58232	16456.51821	56264.2793	7354.817423	8896.179737	7710.928028	15239.44167	15	9	7	16	25	5	15	20	0.369044438	0.28844691	0.425363367	0.284372255	3.399132645	0.562039004	1.945291143	1.312384038
42122.80184	17620.07147	36068.6473	36998.15903	7051.75606	13916.4097	7714.518164	10349.129	27	13	10	11	5	16	4	14	0.640983003	0.737794964	0.2772491	0.29731209	0.709043245	1.149721828	0.518502895	1.352770847	44493.17498	13151.01975	69816.15736	25687.2569	6685.545364	9170.619696	7371.548738	13030.5446	29	8	21	8	17	9	15	24	0.651785358	0.608317845	0.300789972	0.31143847	2.542799289	0.981394965	2.034850549	1.841826319
