Group	VAC	CAC	GCVC	GCCC	GCMVC	GCMCC	VAG	CAG	GCVG	GCCG	GCMVG	GCMCG
Trial3	23414.70878	6255.612026	14	4	0.597914761	0.639425844	51279.61026	8417.398053	25	15	0.487523206	1.782023365
Trial3	18117.96087	7032.929979	7	9	0.386356944	1.279694242	34249.30181	13013.91238	22	36	0.642348861	2.766270354
Trial3	20111.83433	5891.958883	13	4	0.646385595	0.678891364	36849.9336	8966.170818	15	19	0.407056364	2.119076291
Trial3	29419.20603	6245.710554	20	11	0.679828	1.761208738	35289.50991	8984.911389	14	20	0.396718459	2.225954062
Trial3	29301.79731	12986.65262	16	14	0.54604159	1.078029914	38887.84617	9272.008391	16	22	0.411439603	2.372732969
Trial3	46998.58614	10579.37752	25	27	0.531930895	2.552135034	39202.69782	15077.17764	25	33	0.637711214	2.188738555
Trial3	25263.00267	7857.964079	13	18	0.514586495	2.290669672	65800.14502	15043.28591	36	29	0.547111256	1.927770313
Trial3	25932.15549	6982.395435	18	8	0.694118929	1.145738604	48318.87148	8398.712386	19	16	0.393221104	1.905053925
Trial3	34709.70793	8849.2514	11	14	0.31691422	1.582054726	48222.19676	11302.22085	28	18	0.580645468	1.59260735
Trial3	38572.65697	11442.01518	10	22	0.259251003	1.922738229	38551.35194	8984.31327	13	19	0.337212558	2.114797139
Trial3	41782.6115	15608.31317	12	33	0.287200813	2.114257937	32370.07228	13685.91833	11	23	0.339820063	1.680559495
Trial3	33972.12825	8355.394892	11	11	0.323794845	1.316514676	32058.98926	17587.01212	13	24	0.405502491	1.364643399
Trial3	58574.55306	6603.855546	17	10	0.29022842	1.51426692	51376.10586	13505.9276	15	26	0.291964518	1.925080658
Trial3	44155.10499	11473.93383	13	15	0.294416693	1.307311008	28655.64934	11053.51734	16	22	0.558354125	1.990316686
Trial3	40469.90459	10042.24995	8	11	0.197677758	1.095372059	63122.88975	17866.56357	32	39	0.50694764	2.182848417
Trial3	51874.0987	14217.49556	16	23	0.308439094	1.61772514	44224.43669	17079.79461	9	30	0.203507397	1.756461403
Trial3	35452.08294	15192.5163	6	23	0.169242524	1.513903263	36060.95627	7520.667216	15	15	0.415962347	1.994503888
Trial3	53761.91325	7344.347939	20	16	0.37201057	2.178546024	17537.24845	11807.24953	14	22	0.79830083	1.863262053
Trial3	32554.77989	11960.69913	5	29	0.153587277	2.424607431	20146.51228	13406.71597	18	24	0.893454894	1.790147569
Trial3	29837.72443	10744.97065	8	23	0.268116961	2.140536327	26128.13502	10020.4619	19	37	0.727185464	3.692444556
Trial3	31040.45677	7639.659556	1	16	0.032216021	2.094334163	26177.58038	16137.38837	13	55	0.496608159	3.408234266
Trial3	35349.52955	13800.89267	6	27	0.169733518	1.956395187	59123.40943	11772.70547	49	20	0.828774938	1.698844845
Trial3	60122.78682	6882.317188	11	11	0.182958918	1.598298901	25247.29084	10463.86302	9	28	0.356473891	2.675876009
Trial3	40998.68381	14558.40437	4	30	0.097564108	2.060665388	33693.32583	17927.2115	13	50	0.385833089	2.789056179
Trial3	32357.92777	10216.81865	6	21	0.185425966	2.055434349	24399.13513	11252.96017	11	33	0.450835652	2.932561698
Trial3	37628.86919	7870.189021	5	16	0.132876701	2.032988021	27208.06681	15809.94017	7	38	0.25727664	2.403551157
Trial3	41749.16552	9249.019892	1	16	0.023952575	1.729913027	27730.73709	9273.282976	8	34	0.288488545	3.666446941
Trial3	29443.92951	7004.379466	9	12	0.305665723	1.713213863	46251.66854	12945.75056	26	41	0.562141882	3.167062413
Trial3	53814.12488	14869.56044	16	34	0.29731971	2.286550443	30345.74647	15948.46119	16	40	0.527256761	2.508078963
Trial3	24148.44557	9686.499691	8	19	0.331284263	1.961492862	43985.81124	16620.18208	36	32	0.818445744	1.925370002
Trial3	33374.72955	16793.21482	8	32	0.239702317	1.90553151	24603.21475	10804.4137	28	31	1.138062659	2.869197798
Trial3	34189.8038	11492.23021	18	15	0.526472749	1.305229683	37448.6152	19604.42808	25	42	0.667581428	2.142373133
Trial3	22077.72777	5828.066145	16	10	0.724712261	1.715835022	62581.69898	20192.84769	25	39	0.399477809	1.931376921
Trial3	13567.38531	8439.045322	9	16	0.663355525	1.895949055	58490.34992	12580.76251	37	25	0.632582983	1.987160951
Trial3	32555.73944	11114.09596	25	18	0.767913751	1.619564926	46734.16647	20855.54558	29	31	0.62053102	1.486415202
Trial3	22434.94266	9934.976787	19	19	0.846893183	1.912435269	47951.65001	11756.81752	20	28	0.417086795	2.381596887
Trial3	15090.69362	6720.891014	7	14	0.463862045	2.083057138	45269.31611	10617.4375	14	24	0.30926025	2.260432426
Trial3	16273.55635	9189.006999	6	20	0.368696299	2.176513741	28696.65521	8726.181649	15	22	0.522709002	2.521148526
Trial3	30714.82651	9051.466483	20	22	0.651151326	2.430545375	35125.77904	16420.2189	20	24	0.569382389	1.461612671
Trial4	54640.06945	16915.78574	9	34	0.164714286	2.009956884	33441.80392	12228.81651	18	42	0.538248476	3.434510606
Trial4	25875.05885	19544.9526	2	17	0.07729451	0.869789779	40578.0721	19845.0514	31	32	0.763959409	1.612492674
Trial4	41970.47249	20787.81363	0	22	0	1.058312355	55157.66377	9249.807774	32	21	0.580155101	2.27031745
Trial4	39900.80048	10595.81952	6	21	0.150372923	1.981913712	49193.6991	12068.17235	29	41	0.589506391	3.397366131
Trial4	46194.27775	15711.71051	9	13	0.194829326	0.82740832	52857.13947	8618.304648	32	28	0.605405444	3.248898843
Trial4	41750.7249	12386.04503	6	10	0.14371008	0.807360217	46681.33217	10983.81473	20	24	0.428436788	2.185033214
Trial4	68579.53654	24935.08521	11	25	0.160397701	1.002603351	48725.20573	12065.7087	23	33	0.472034949	2.735023763
Trial4	35040.81493	18209.22155	2	26	0.057076298	1.427847968	58979.47816	11296.42455	44	41	0.746022199	3.629466989
Trial4	39732.59239	10386.1912	9	27	0.226514291	2.599605523	26477.41472	12827.33327	23	21	0.868664869	1.637129056
Trial4	31358.14513	12717.60381	10	19	0.318896413	1.49399213	36193.38892	11599.13313	28	24	0.773621947	2.069120143
Trial4	28918.91922	10390.59255	14	24	0.484112144	2.309781649	62807.21605	15521.07621	45	35	0.716478182	2.25499827
Trial4	44104.10432	13757.28552	19	20	0.430798908	1.453775164	52700.63926	22236.87048	20	37	0.379502038	1.663903203
Trial4	39632.1033	13236.31165	21	30	0.529873468	2.266492418	34712.72094	15833.20701	19	27	0.547349775	1.705276763
Trial4	28371.13414	12687.34069	15	34	0.528706393	2.679836605	45588.61052	12202.85363	30	24	0.6580591	1.966753083
Trial4	40155.98967	14001.58598	19	37	0.473154818	2.642557783	59363.65534	20522.48518	37	28	0.623276983	1.36435718
Trial4	42534.29012	9738.556573	24	35	0.56425063	3.593961768	40139.76464	18404.1918	21	33	0.523171976	1.793069772
Trial4	30256.35451	11214.99318	14	17	0.462712717	1.515827939	54370.60917	19442.20774	44	43	0.809260751	2.211682983
Trial4	22045.24854	6477.149736	15	13	0.68041873	2.007055654	38991.91236	20918.47936	37	54	0.94891473	2.581449591
Trial4	27545.64454	20054.27138	8	46	0.29042704	2.293775681	34378.94564	16043.22273	18	33	0.523576266	2.05694333
Trial4	25266.55496	10492.61047	19	22	0.751982216	2.096713689	64379.1447	9312.250356	30	27	0.465989415	2.899406585
Trial4	18929.33735	14039.74371	6	24	0.316968306	1.709432914	24694.13551	21341.51198	14	49	0.566936226	2.295994775
Trial4	32702.68888	17222.67848	13	23	0.397520829	1.335448492	57772.93571	10219.73221	28	33	0.484656001	3.229047429
Trial4	30013.90806	13963.33505	11	23	0.366496758	1.64717096	41169.19008	11938.71907	22	28	0.534380199	2.345310233
Trial4	23338.78465	12074.16824	13	26	0.557012723	2.15335744	63811.92284	26963.61293	47	61	0.736539473	2.262308103
Trial4	15595.62011	7870.175585	4	17	0.256482267	2.16005346	32451.67674	26030.79869	9	35	0.277335439	1.344561126
Trial4	21492.47681	10839.63741	5	35	0.232639544	3.228890291	29005.37552	26023.72671	16	45	0.551621888	1.72919123
Trial4	25654.10073	10070.92938	12	9	0.467761475	0.893661316	37788.74722	26105.0762	22	40	0.582183894	1.532269038
Trial4	24862.4063	9648.650825	16	11	0.643541892	1.140055765	36075.02929	21048.95701	16	42	0.443520083	1.995348272
Trial4	28768.82016	11070.5568	14	24	0.486637962	2.167912638	40632.25703	19388.36442	10	29	0.246109882	1.495742466
Trial4	33404.97518	13014.34774	14	33	0.419099249	2.535662997	12526.37396	14579.82284	12	33	0.957978745	2.263401988
Trial4	50545.19277	9511.335676	19	13	0.375901227	1.366790159	30451.81171	14510.96886	22	23	0.72245291	1.585007881
Trial4	31159.55382	16889.63416	14	21	0.4493004	1.243366186	52629.71135	41513.94064	18	45	0.342012136	1.083973222
Trial4	74623.21528	13523.56745	36	29	0.482423598	2.144404582	38665.35177	11619.93279	24	23	0.620710763	1.979357403
Trial4	20776.1111	7972.005418	14	23	0.673850844	2.885095882	15113.52975	16373.4033	15	33	0.992488204	2.0154637
Trial4	28053.47735	17343.52483	20	19	0.712924097	1.095509718	44822.08361	14375.60379	29	41	0.647002497	2.852054118
Trial4	24778.54178	8806.858111	15	12	0.6053625	1.362574467	21109.65605	31042.99804	15	37	0.710575292	1.191895188
Trial4	32246.98135	15591.91456	21	16	0.651223746	1.026172888	31435.34405	25445.37068	13	53	0.413547247	2.08289361
Trial4	28377.63991	6920.396137	14	10	0.493346171	1.445003986	23927.78845	24878.0256	15	59	0.626886184	2.371570837
Trial4	33399.54749	13737.1739	16	35	0.479048406	2.547831181	48306.57708	13516.79346	15	39	0.310516723	2.885299691
Trial4	26331.58507	10030.59243	15	15	0.569658073	1.495425131	20409.31266	12013.09301	12	28	0.587966885	2.330790245
Trial4	28179.02683	15741.02215	7	14	0.248411701	0.889395865	40942.92039	12939.15	7	46	0.170969729	3.55510215
Trial4	59826.317	14456.12676	11	32	0.183865572	2.213594314	30360.52843	31080.87276	18	80	0.592875056	2.573930295
Trial4	48216.13603	17177.36329	14	23	0.290359227	1.338971506	44478.4766	23700.47629	47	48	1.056690867	2.025275754
Trial4	26751.41329	12001.01172	7	20	0.261668418	1.666526161	26727.64463	15827.40334	25	42	0.935361134	2.653625431
Trial4	20305.26008	25151.44275	3	23	0.147744968	0.914460464	42051.21305	18444.17702	23	49	0.546952117	2.656665025
Trial4	36621.75505	17518.09612	9	12	0.245755562	0.685005946	43697.55569	12009.42848	15	50	0.343268628	4.163395459
Trial4	42834.31193	15411.91028	6	15	0.140074621	0.973273249	50397.03796	10836.61858	26	28	0.515903336	2.583831828
Trial4	9628.608317	7874.214623	4	7	0.415428675	0.888977547	63104.43592	9103.128338	26	23	0.412015409	2.526603948
Trial4	32682.47345	16791.36832	10	21	0.305974394	1.250642568	31008.16585	14335.69575	12	46	0.386994834	3.208773457
Trial4	26286.22166	19325.97204	9	15	0.342384696	0.776157596	55113.1636	12170.9918	20	37	0.362889711	3.040015195
