Group	VAC	CAC	GCVC	GCCC	GCMVC	GCMCC	VAG	CAG	GCVG	GCCG	GCMVG	GCMCG
Trial2	43290.02366	8474.660917	11	7	0.254100115	0.82599175	37276.80072	10185.18273	13	16	0.348742375	1.570909469
Trial2	8474.660917	11161.48816	7	17	0.82599175	1.52309439	20774.51922	14585.04734	9	21	0.433223022	1.439830774
Trial2	39992.38189	13687.77216	6	11	0.150028573	0.803636989	26630.63131	23553.55477	5	14	0.187753716	0.59439011
Trial2	31712.73839	13543.54407	3	11	0.09459921	0.812195091	21063.52138	9509.134729	9	14	0.427278983	1.47226855
Trial2	38933.9327	14078.78124	5	19	0.128422681	1.349548635	46935.02098	12928.14329	16	15	0.340896833	1.160259417
Trial2	43002.21058	11612.9139	8	19	0.186036948	1.636109608	33837.25712	33837.25712	12	18	0.354638674	0.531958011
Trial2	30651.48002	8240.147129	11	13	0.358873372	1.577641733	58038.79672	12737.77571	13	17	0.223988103	1.334612918
Trial2	70693.2451	15610.79065	16	14	0.226329969	0.896815563	43833.59264	11992.59625	10	12	0.228135533	1.00061736
Trial2	38947.88356	12060.55623	17	3	0.436480713	0.248744746	34803.61284	11155.87125	16	10	0.459722388	0.896388976
Trial2	47588.43732	15906.79571	11	14	0.231148586	0.880126976	41737.11123	12174.93141	17	9	0.407311371	0.739223877
Trial2	21846.16604	9880.633279	13	12	0.59507009	1.214497053	31201.58232	8896.179737	9	5	0.28844691	0.562039004
Trial2	17620.07147	13916.4097	13	16	0.737794964	1.149721828	13151.01975	9170.619696	8	9	0.608317845	0.981394965
Trial2	36388.27994	10513.91682	13	12	0.357257887	1.141344392	30392.11566	9665.581006	5	12	0.164516352	1.241518745
Trial2	47548.1588	9487.581484	9	13	0.189281777	1.370212211	38726.01828	12668.30318	12	13	0.309869192	1.026183209
Trial2	55699.05906	10245.61527	21	16	0.377026118	1.561643648	21066.59249	13183.11417	5	9	0.237342608	0.682691501
Trial2	20924.46592	12755.4705	12	15	0.57349134	1.17596603	24016.50535	11914.68601	10	13	0.416380312	1.09109044
Trial2	30599.18164	7859.758435	7	8	0.228764288	1.017842987	42078.77803	8135.245797	16	9	0.380239179	1.106297243
Trial2	49365.52066	15050.09985	14	17	0.283598751	1.129560612						
Trial2	51514.56975	14328.18907	11	6	0.213531823	0.418754943						
Trial2	62561.16853	14037.75839	12	19	0.191812274	1.35349245						
Trial2	53011.98765	22677.14266	14	26	0.264091211	1.146528925						
Trial2	23516.48429	18037.62812	11	15	0.467756994	0.831594925						
Trial2	20463.93994	13104.42047	9	15	0.439798007	1.144651916						
Trial2	41517.543	8785.408542	15	6	0.361293056	0.682950596						
Trial2	35780.89596	10240.81117	18	16	0.503061746	1.562376236						
Trial2	57609.63209	18780.72459	15	13	0.260373126	0.692199065						
Trial2	39261.28227	9881.094125	9	12	0.229233471	1.21444041						
Trial3	44155.00432	14936.29807	15	15	0.339712344	1.004264908	61719.53255	17105.99747	16	18	0.259237219	1.05226252
Trial3	50386.11183	13073.97162	8	19	0.15877391	1.453269179	52365.13837	11041.39193	30	16	0.572900233	1.44909266
Trial3	26433.31657	8300.176307	11	5	0.4161415	0.602396843	52345.17565	11960.56831	19	14	0.362975189	1.170512942
Trial3	52209.64554	11529.37127	11	7	0.210689038	0.60714499	41985.05899	9483.848921	13	17	0.309633958	1.792521174
Trial3	16680.40147	11983.18767	7	10	0.419654168	0.834502494	53439.12267	7939.058192	19	24	0.355544759	3.023028604
Trial3	28557.23172	14196.32437	6	8	0.210104399	0.563526149	29187.70638	12383.10585	12	13	0.411131997	1.049817401
Trial3	40220.51079	27314.44126	14	29	0.348081109	1.061709435	57088.93938	20723.67602	19	28	0.33281403	1.351111645
Trial3	33765.62564	13573.71703	13	17	0.385006934	1.252420392	50776.86588	6278.894754	16	13	0.315104127	2.070428078
Trial3	46881.37869	15200.59225	8	19	0.170643446	1.249951297	43362.3632	8247.672648	22	19	0.507352422	2.303680179
Trial3	24020.10305	9710.526086	8	8	0.333054358	0.823848258	36454.34875	8954.490785	18	20	0.49376825	2.233516174
Trial3	36342.67045	13093.07189	8	7	0.220126917	0.534633893	66258.79565	14787.6941	45	37	0.679155115	2.50208043
Trial3	69958.27099	13605.14437	23	14	0.328767416	1.029022524	45796.46937	12028.11654	29	29	0.633236588	2.411017544
Trial3	35592.07434	7084.782215	14	8	0.393345998	1.129180793	71767.77081	8574.32862	43	26	0.599154739	3.032307385
Trial3	25588.53616	11561.70916	12	8	0.468960003	0.691939218	44231.39313	12717.3004	23	37	0.519992665	2.909422505
Trial3	42462.03255	7832.992554	12	7	0.282605407	0.893655899	75381.74683	16228.18778	29	32	0.384708517	1.971877602
Trial3	50333.16725	7407.401723	12	6	0.238411383	0.810000622	117493.5384	10050.52761	37	27	0.314910935	2.686426131
Trial3	28383.08084	12546.66321	9	8	0.317090313	0.637619729	70435.14906	17652.73918	31	26	0.440121167	1.472859239
Trial3	22813.40581	14883.45861	8	13	0.350671008	0.873452894	50408.55146	13287.21477	24	26	0.476109694	1.95676825
Trial3	30465.70992	9214.85206	3	8	0.098471364	0.868163694	84456.63254	10964.49261	23	24	0.272329115	2.188883777
Trial3	46399.41423	10748.67899	19	16	0.409487928	1.488555014	54084.64545	10449.08692	30	27	0.554686081	2.583957833
Trial3	42995.83764	12570.90221	8	5	0.186064522	0.397743926	92314.20372	16607.33272	32	25	0.346642214	1.505359134
Trial3	42993.05631	6906.450384	9	5	0.209336129	0.723960895	37078.46432	15278.4322	15	28	0.404547499	1.832648771
Trial3	54355.02902	17709.17116	16	19	0.294360987	1.072890415	79393.6326	13246.4587	30	19	0.377864056	1.434345619
Trial3	63513.42147	20532.74432	11	10	0.17319174	0.487026958	72560.55126	16366.2212	19	22	0.261850271	1.344232107
Trial3	68164.49441	11760.35343	9	9	0.132033547	0.765283123	68671.22283	13345.20884	14	16	0.203869968	1.198932156
Trial3	53896.99681	13659.90156	12	13	0.222646914	0.951690606	51494.22464	22575.49668	19	11	0.368973417	0.487253953
Trial3	37287.74647	6469.965966	9	5	0.241366155	0.772801592	88759.78568	17023.80731	35	24	0.394322719	1.409790393
Trial3	38336.26027	17363.0553	8	7	0.208679718	0.403154853	46377.70891	20578.77074	28	13	0.603738319	0.631718977
Trial3	35781.73982	13408.76339	10	8	0.279472157	0.596624742	70596.0473	25450.75902	28	28	0.396622772	1.100163652
Trial3	27419.02694	11256.78983	7	16	0.255297171	1.421364371	44489.77536	16897.52046	24	18	0.539449791	1.065245048
Trial3	29812.29021	11357.66873	7	11	0.234802491	0.968508614	38291.74648	9219.414962	17	18	0.443959902	1.952401543
Trial3	48593.73576	15309.11127	15	25	0.308681763	1.633014456	58060.69564	10438.88721	12	15	0.206680266	1.436934771
Trial3	40395.13716	13142.22419	6	14	0.14853273	1.065268694	44942.12862	7333.092029	24	19	0.5340201	2.590994348
Trial3	28850.77433	18279.16109	7	16	0.242627803	0.875313693	16456.51821	7710.928028	7	15	0.425363367	1.945291143
Trial3	36068.6473	7714.518164	10	4	0.2772491	0.518502895	69816.15736	7371.548738	21	15	0.300789972	2.034850549
Trial3	29684.41249	13618.04219	14	14	0.471627997	1.028047924	48854.73529	8280.415326	16	18	0.327501519	2.173804005
Trial3	45605.97047	14747.46834	10	15	0.219269536	1.017123729	52893.76273	18337.47967	7	28	0.132340746	1.526927392
Trial3	26552.92635	14650.60818	7	7	0.263624427	0.477795865	47898.7228	10283.63513	20	14	0.417547668	1.361386302
Trial3	25512.6905	13547.43526	16	13	0.627138874	0.959591225	28297.01316	7392.391822	13	20	0.459412445	2.705484298
Trial3	33681.54103	15212.20518	10	12	0.296898529	0.788840267	50618.36511	11803.04261	18	20	0.355602161	1.694478336
Trial4	52820.51597	19556.98812	8	28	0.151456302	1.4317133	41271.49388	14646.45519	11	19	0.266527789	1.297242217
Trial4	49414.27526	22693.3627	3	28	0.060711201	1.233840942	29768.06744	10388.11546	8	16	0.268744352	1.540221618
Trial4	57446.59134	8764.071259	2	4	0.034814946	0.456408886	31874.24025	9207.507696	20	22	0.627465936	2.389354506
Trial4	29078.32852	18159.94244	1	13	0.034389872	0.7158613	42934.3947	9854.633493	14	12	0.326078895	1.217701298
Trial4	26030.80189	15486.95851	9	20	0.345744247	1.291409155	35834.99055	9184.319069	12	14	0.334868234	1.524337286
Trial4	23446.11638	9652.425622	1	14	0.042650987	1.450412627	50147.70767	10980.06235	25	19	0.498527274	1.730409118
Trial4	39370.75284	20087.38626	6	22	0.152397391	1.095214664	27735.22401	12901.10821	9	11	0.324497109	0.85263993
Trial4	37134.06106	9760.468366	3	14	0.080788363	1.434357397	50763.35818	10738.08439	13	15	0.256090229	1.396897199
Trial4	29987.63638	16288.87886	6	23	0.200082458	1.412006326	24676.36543	17362.96426	6	24	0.243147639	1.382252457
Trial4	30170.34495	19034.31073	2	25	0.06629026	1.313417667	33921.66152	8528.443215	6	13	0.176878128	1.524311023
Trial4	20340.80386	12429.50495	5	20	0.245811328	1.609074543	39986.35645	15011.23106	8	25	0.200068241	1.665419705
Trial4	15321.58156	13221.06324	7	14	0.456871895	1.058916348	41115.63808	16967.43582	18	19	0.43778963	1.119792065
Trial4	32661.1339	12172.08574	4	20	0.122469722	1.643103773	12819.95357	10446.55343	18	14	1.404061247	1.340154922
Trial4	17392.57413	10265.30922	3	9	0.172487406	0.876739298	43217.7886	17877.88878	11	17	0.254524823	0.950895277
Trial4	21404.5972	15446.72486	2	33	0.093437871	2.136375205	38855.44777	16312.61935	6	17	0.154418501	1.042137969
Trial4	15655.87111	15422.61435	1	28	0.063873801	1.815515798	35512.26096	13148.60934	14	17	0.394230038	1.292912396
Trial4	15725.44102	17410.13287	5	25	0.317956107	1.435945388	45090.15869	25363.22671	20	37	0.443555769	1.458804923
Trial4	12741.48306	15862.30233	1	19	0.078483799	1.197808465	36521.15452	20318.76942	15	31	0.41072086	1.525682947
Trial4	10068.01286	15479.9883	8	35	0.794595728	2.260983621	34904.29541	18759.58056	15	36	0.429746535	1.919019452
Trial4	13036.62998	10330.35566	4	20	0.306827762	1.936041764	30740.25214	22335.71946	12	28	0.39036765	1.253597407
Trial4	20803.48894	19800.6812	2	18	0.09613772	0.909059634	42831.9744	17120.789	14	20	0.326858619	1.168170462
Trial4	34680.82793	25673.27023	5	44	0.144171875	1.713844773	34723.596	16963.48315	16	20	0.460781769	1.179003146
