Group	VAC	VHC	VWC	CAC	CDC	CWC	VCRC	VAG	VHG	VWG	CAG	CDG	CWG	VCRG
Trial4	19734.64905	239.843033	83.780494	10013.53043	223.927869	41.525817	1.071072726	45770.80445	367.453565	144.512284	19350.05565	341.929824	55.871786	1.074646139
Trial4	17127.97369	201.532536	90.514957	11020.78399	225.009012	57.277138	0.895664286	31088.92244	338.818959	92.659111	7639.232193	205.553084	35.6997	1.648328268
Trial4	17194.18744	181.86409	88.375156	16585.82775	274.383661	67.054254	0.662809474	44680.28602	365.742666	118.046321	15827.73482	408.505933	35.245703	0.89531788
Trial4	23417.71908	256.13	95.720455	26950.28899	441.765756	66.751923	0.579786904	41187.93841	419.356729	95.090206	9522.091059	206.948924	45.13323	2.026377914
Trial4	25909.34064	191.532484	142.398978	11602.43035	284.154944	32.696221	0.674042413	27604.26216	276.003506	111.916522	9194.424507	215.803964	38.673667	1.278954755
Trial4	13379.25833	136.09027	97.47232	18290.26114	358.756117	65.996768	0.379339232	30077.96531	313.636781	95.144084	10503.30102	220.456429	51.470824	1.42267015
Trial4	15125.00233	125.358652	125.52418	16560.33978	274.835836	60.12048	0.45612193	23935.47925	263.121591	96.472374	14152.59591	349.707708	41.122393	0.752404322
Trial4	15241.15495	148.32133	113.336385	8305.260566	256.945309	31.045733	0.577248639	48834.61357	395.61768	127.706522	20788.04895	353.819147	66.145088	1.118135305
Trial4	33744.95102	388.514679	87.858383	8134.120345	268.863469	31.602971	1.44502591	41055.4443	461.952108	97.216085	15493.01945	285.172778	57.560907	1.619902542
Trial4	32811.72038	321.953002	114.219944	13170.64885	307.363335	30.579925	1.047467168	44048.30866	414.105453	104.715894	15766.95985	337.366049	39.611147	1.227466291
Trial4	28530.20352	252.142473	147.29556	7779.390666	225.653965	34.163613	1.11738552	30359.36963	291.520192	120.793393	15066.04202	256.103232	58.425243	1.138291734
